Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
J. Méndez,Juan Ignacio Méndez,70,74,2000000,"CDM,CM",CM,Argentina,25,177,69,1933,408,San Lorenzo de Almagro
R. Hack,Robin Hack,70,75,2400000,"LM,CAM,CF",LM,Germany,23,176,68,1691,364,DSC Arminia Bielefeld
M. Phillips,Matt Phillips,70,70,1300000,"RW,RM",RW,Scotland,31,183,75,1826,393,West Bromwich Albion
J. Dom,Joren Dom,70,70,1100000,"RB,RWB,CM",RB,Belgium,32,173,71,1867,397,Oud-Heverlee Leuven
A. Bellemo,Alessandro Bellemo,70,71,1900000,CM,CM,Italy,26,184,75,1757,376,Como
P. Köhn,Philipp Köhn,70,76,2000000,GK,GK,Switzerland,24,190,80,1105,389,FC Red Bull Salzburg
S. Thill,Sébastien Thill,70,70,1600000,CAM,CAM,Luxembourg,28,178,72,1794,372,F.C. Hansa Rostock
J. Soraire,Jesús Soraire,70,70,975000,CM,CM,Argentina,33,174,73,1973,420,Club Atlético Central Córdoba
D. Giraldo,Daniel Giraldo,70,70,1300000,"CDM,CM",CDM,Colombia,30,178,71,1814,392,Junior FC
Erison,Erison Danilo de Souza,70,77,3200000,ST,ST,Brazil,23,180,83,1637,350,Estoril Praia
D. Pérez,Damián Pérez,70,70,825000,LB,LB,Argentina,33,168,65,1865,389,Arsenal de Sarandí
J. Williams,Joe Williams,70,74,2000000,"CDM,CM,CAM",CDM,England,25,185,80,1818,384,Bristol City
Douglas Friedrich,Douglas Alan Schuck Friedrich,70,70,525000,GK,GK,Brazil,33,194,88,930,364,Al Khaleej
S. Lauper,Sandro Lauper,70,75,2100000,"CB,CDM,CM",CB,Switzerland,25,186,73,1895,411,BSC Young Boys
G. Mera,Germán Mera,70,70,1000000,CB,CB,Colombia,32,187,86,1380,300,Deportivo Cali
C. Martínez Borja,Cristian Martínez Borja,70,70,775000,ST,ST,Colombia,34,184,84,1694,372,C.D. Universidad Católica del Ecuador
Kim Bo Kyung,Bo Kyung Kim,70,70,1300000,"CM,CAM,RM",CAM,Korea Republic,32,176,72,1945,407,Jeonbuk Hyundai Motors
Lucas Possignolo,Lucas Possignolo,70,72,1600000,CB,CB,Brazil,28,188,80,1568,329,Zhejiang Professional FC
M. Zaldivia,Matías Zaldivia,70,70,1100000,CB,CB,Argentina,31,181,79,1622,337,Colo-Colo
A. Campbell,Allan Campbell,70,76,2500000,"CM,CDM",CDM,Scotland,23,175,74,1958,419,Luton Town
G. Diangana,Grady Diangana,70,76,2500000,"LM,ST,RM",CAM,England,24,180,73,1639,363,West Bromwich Albion
C. Brannagan,Cameron Brannagan,70,72,2000000,CM,CM,England,26,180,71,1885,399,Oxford United
K. Tagawa,Kyosuke Tagawa,70,76,2500000,"ST,RW,LW",ST,Japan,23,181,70,1759,390,Santa Clara
M. Lebusa,Mosa Lebusa,70,70,1300000,"CB,LB",CB,South Africa,29,185,74,1699,374,Mamelodi Sundowns FC
M. Bird,Max Bird,70,78,3400000,"CDM,CM",CDM,England,21,183,68,1792,387,Derby County
A. Davies,Adam Davies,70,70,1100000,GK,GK,Wales,29,185,80,1075,385,Sheffield United
F. Gattoni,Federico Gattoni,70,76,2300000,CB,CB,Argentina,23,183,79,1732,375,San Lorenzo de Almagro
Natinho Mestres,Renato Peter Mestres Silveira,70,70,1500000,RM,RM,Brazil,30,170,70,1655,364,São Paulo
Anderson Jesus,Anderson de Jesus Santos,70,71,1600000,CB,CB,Brazil,27,189,77,1473,319,FC Vizela
J. Vossen,Jelle Vossen,70,70,1000000,ST,ST,Belgium,33,183,79,1825,370,SV Zulte Waregem
V. Dubinchak,Vladyslav Dubinchak,70,75,2200000,LB,LWB,Ukraine,24,173,62,1838,384,Dynamo Kyiv
F. de Keijzer,Fabian de Keijzer,70,78,3100000,GK,GK,Netherlands,22,193,83,1052,373,FC Utrecht
Lourival Dinisco,Lourival Adnan Diniz Prazeres,70,70,1600000,CB,CB,Brazil,22,188,85,1655,359,Fortaleza
A. Ueda,Ayase Ueda,70,75,2400000,"ST,CAM",ST,Japan,23,182,76,1708,365,KSV Cercle Brugge
S. McCallum,Sam McCallum,70,80,3400000,"LB,LWB",LB,England,21,183,73,1855,399,Norwich City
G. Tsitaishvili,Giorgi Tsitaishvili,70,80,3600000,"RM,LM",LM,Georgia,21,171,63,1616,361,Lech Poznań
Afonso Sousa,Afonso Gamelas Sousa,70,79,3600000,"CM,LM,CAM",CAM,Portugal,22,174,64,1841,391,Lech Poznań
J. Baez,Jaime Baez,70,70,1700000,"RM,LM",RM,Uruguay,27,178,74,1734,362,US Cremonese
M. Mehlem,Marvin Mehlem,70,74,2300000,"CAM,LM",CAM,Germany,24,174,67,1802,385,SV Darmstadt 98
A. Chumacero,Alejandro Chumacero,70,70,1300000,"CM,RM",CM,Bolivia,31,164,63,1961,407,Club Always Ready
M. Cóccaro,Matías Cóccaro,70,76,2500000,ST,ST,Uruguay,24,178,73,1600,344,Club Atlético Huracán
M. Minchev,Martin Minchev,70,76,2600000,"RM,LM,ST",ST,Bulgaria,21,184,80,1796,389,AC Sparta Praha
L. Ranieri,Luca Ranieri,70,78,3400000,"LB,CB",LB,Italy,23,187,76,1728,372,Fiorentina
F. Jensen,Fredrik Jensen,70,75,2400000,"CAM,RM,LM",CAM,Finland,24,183,78,1820,393,FC Augsburg
N. Ferreyra,Nicolás Ferreyra,70,70,1300000,CB,CB,Argentina,29,194,90,1506,310,Barracas Central
R. Inglese,Roberto Inglese,70,70,1600000,ST,ST,Italy,30,186,85,1617,330,Parma
G. Martirena,Gastón Martirena,70,77,3100000,"RB,RWB",RWB,Uruguay,22,173,64,1861,393,Liverpool Fútbol Club
Romário Baró,Romário Manuel Silva Baró,70,80,3600000,"CAM,RW",CAM,Portugal,22,180,66,1815,383,Casa Pia
Cho Gue Sung,Gue Sung Cho,70,77,3200000,"ST,LW",ST,Korea Republic,24,188,77,1725,372,Jeonbuk Hyundai Motors
Jaume Grau,Jaume Grau Ciscar,70,77,2900000,"CDM,CM",CDM,Spain,25,182,67,1809,392,Real Zaragoza
Igor Silva,Igor Silva de Almeida,70,73,1900000,"RB,RWB",RB,Brazil,25,173,66,1859,396,FC Lorient
Marcos Paulo,Marcos Paulo Costa do Nascimento,70,82,3900000,"LM,CAM,ST",RM,Portugal,21,186,75,1680,368,CD Mirandés
T. Koubek,Tomáš Koubek,70,70,1100000,GK,GK,Czech Republic,29,197,98,1100,386,FC Augsburg
E. Guessand,Evann Guessand,70,79,3600000,"ST,LW",ST,France,21,185,79,1644,361,FC Nantes
Luquinha,Lucas Queiroz Canteiro,70,81,3600000,"CAM,CM",RM,Brazil,21,167,65,1732,363,Portimonense SC
F. Pereyra,Fabio Pereyra,70,70,1000000,CB,CB,Argentina,32,185,76,1597,344,Club Atlético Central Córdoba
G. González,Gastón González,70,78,3600000,"LM,LW,LWB",LM,Argentina,21,186,78,1801,393,Orlando City Soccer Club
J. Holland,James Holland,70,70,800000,"CDM,CM,CB",CDM,Australia,33,182,76,1881,393,FK Austria Wien
A. Bukia,André Bukia,70,70,1700000,"RW,RM",RW,Congo DR,27,173,58,1704,377,FC Arouca
H. Moldovan,Horațiu Moldovan,70,76,2000000,GK,GK,Romania,24,185,81,1147,385,Rapid București
N. Sarenren Bazee,Noah Joel Sarenren Bazee,70,71,1900000,RM,RW,Nigeria,25,183,80,1670,361,FC Augsburg
D. Melnjak,Dario Melnjak,70,70,1400000,LB,LB,Croatia,29,179,73,1857,399,Hajduk Split
B. Bvuma,Bruce Bvuma,70,74,1700000,GK,GK,South Africa,27,186,73,1099,384,Kaizer Chiefs
D. Fisher,Darnell Fisher,70,70,1400000,"RWB,RB",RWB,England,28,175,70,1639,364,Middlesbrough
Marlion Rolim,Marlion Rômulo Rolim Nascimento,70,70,1500000,CAM,CAM,Brazil,30,175,70,1760,370,RB Bragantino
J. Narváez,Juan José Narváez,70,70,1700000,"LM,ST",LM,Colombia,27,181,79,1902,404,Real Valladolid CF
A. Mumin,Abdul Mumin,70,78,3300000,CB,CB,Ghana,24,188,80,1694,377,Rayo Vallecano
Juanma García,Juan Manuel García García,70,70,1600000,"ST,LM,RM",RW,Spain,29,167,62,1784,370,Albacete BP
M. Pearson,Matty Pearson,70,71,1500000,CB,CB,England,28,190,78,1629,350,Huddersfield Town
D. Caicedo,Déiber Caicedo,70,77,3200000,"LM,ST",RM,Colombia,22,168,69,1729,374,Vancouver Whitecaps FC
José Crespo,José Ángel Crespo Rincón,70,70,425000,"CB,RB,LB",CB,Spain,35,185,78,1727,368,APOEL Nicosia FC
O. Kemen,Olivier Kemen,70,73,2100000,"CM,CAM,CDM",CAM,France,25,177,76,1966,425,Yukatel Kayserispor
Jairo Farnias,Jairo Ralph Farnias Almeida,70,70,1400000,GK,GK,Brazil,22,179,76,1130,398,Internacional
Eugeni,Eugeni Valderrama Domènech,70,70,1700000,"CM,CDM,CAM",CAM,Spain,27,182,73,1872,397,Real Zaragoza
L. Blessing,Latif Blessing,70,74,2200000,"CM,RB",CAM,Ghana,25,160,64,1929,413,Los Angeles FC
Júnior Urso,Ocimar Almeida Júnior,70,70,800000,"CDM,CM",CDM,Brazil,33,180,72,1860,404,Orlando City Soccer Club
H. Cornick,Harry Cornick,70,71,1900000,"ST,RW",ST,England,27,180,84,1685,379,Luton Town
V. Mannone,Vito Mannone,70,70,275000,GK,GK,Italy,34,189,77,1259,399,FC Lorient
M. Hilgers,Mees Hilgers,70,82,3700000,"CB,RB",CB,Netherlands,21,186,78,1648,367,FC Twente
L. Lozano,Leandro Lozano,70,77,3000000,"RB,RWB,LB",RB,Uruguay,23,169,70,1836,394,Club Nacional de Football
M. Busi,Maxime Busi,70,76,2400000,RB,RB,Belgium,22,182,75,1780,383,Stade de Reims
R. Abascal,Rodrigo Abascal,70,72,1600000,CB,CB,Uruguay,28,186,80,1659,355,Boavista FC
N. Haas,Nicolas Haas,70,73,2100000,CM,CM,Switzerland,26,181,74,1900,406,Empoli
A. Bareiro,Antonio Bareiro,70,70,1000000,RM,RM,Paraguay,33,167,67,1686,359,Club Libertad
C. Bassett,Cole Bassett,70,80,3500000,"CAM,CM",CAM,United States,20,180,67,1801,386,Fortuna Sittard
Víctor Gómez,Víctor Gómez Perea,70,80,3400000,RB,RWB,Spain,22,169,68,1848,396,SC Braga
K. Yeboah,Kelvin Yeboah,70,77,3300000,ST,ST,Italy,22,185,73,1729,379,Genoa
A. Mabil,Awer Mabil,70,70,1700000,"LM,RM,LW",LM,Australia,26,179,65,1799,378,Cádiz CF
R. Carrascal,Rafael Carrascal,70,70,1600000,"CM,CDM",CM,Colombia,29,174,75,1871,400,Club Cerro Porteño
Nico Serrano,Nicolás Serrano Galdeano,70,81,3400000,"LM,CAM,RM",CAM,Spain,19,178,72,1645,350,CD Mirandés
R. Stewart,Ross Stewart,70,73,2100000,ST,ST,Scotland,25,193,81,1702,370,Sunderland
C. Groß,Christian Groß,70,70,800000,"CDM,CB",CDM,Germany,33,183,75,1784,380,SV Werder Bremen
Tiago Esgaio,Tiago Alexandre de Sousa Esgaio,70,71,1700000,"RB,RWB,CB",RB,Portugal,26,175,72,1860,383,FC Arouca
G. İnler,Gökhan İnler,70,70,325000,"CDM,CM",CDM,Switzerland,38,183,80,1868,378,Adana Demirspor
Y. Cimignani,Yanis Cimignani,70,80,3500000,"LM,RM",RM,France,20,176,68,1822,393,AC Ajaccio
E. Mathoho,Eric Mathoho,70,70,1000000,CB,CB,South Africa,32,190,76,1548,346,Kaizer Chiefs
C. Brüls,Christian Brüls,70,70,1000000,"CAM,CM,RM",CAM,Belgium,33,180,71,1849,385,Sint-Truidense VV
R. Radunović,Risto Radunović,70,70,1400000,LB,LB,Montenegro,30,183,77,1870,407,FCSB (Steaua)
I. Kandouss,Ismaël Kandouss,70,74,2100000,CB,CB,Morocco,24,192,83,1499,331,Royale Union Saint-Gilloise
Ji Xiang,Xiang Ji,70,70,1100000,"RB,RM",RB,China PR,32,185,75,1926,403,Shandong Taishan
A. Medina,Alejandro Medina,70,70,180000,GK,GK,Argentina,35,181,79,1019,368,Arsenal de Sarandí
O. Hernández,Onel Hernández,70,70,1600000,"LM,ST,LWB",LM,Cuba,29,172,76,1766,390,Norwich City
C. Atsu,Christian Atsu,70,70,1500000,"RW,LW",RW,Ghana,30,165,65,1731,362,Atakaş Hatayspor
M. Alphonse,Mickaël Alphonse,70,70,1100000,"RB,LB",RB,France,32,182,79,1758,388,AC Ajaccio
B. Yáñez,Bastián Yáñez,70,79,3600000,"LM,LW",LM,Chile,21,174,77,1675,371,Unión Española
J. Serra,Janni Serra,70,75,2400000,ST,ST,Germany,24,193,87,1633,359,DSC Arminia Bielefeld
T. Lees,Tom Lees,70,70,1100000,CB,CB,England,31,185,75,1631,352,Huddersfield Town
Javi López,Javier López Rodríguez,70,70,350000,RB,RB,Spain,36,180,78,1856,388,Adelaide United
H. Orzán,Horacio Orzán,70,70,725000,"CM,CDM,CB",CM,Argentina,34,177,73,1954,417,FBC Melgar
C. Austin,Charlie Austin,70,70,1300000,ST,ST,England,32,188,84,1688,343,Brisbane Roar
Paolinho Leima,Paolo Marco Leima Donatelo,70,70,1700000,"RWB,RB",RWB,Brazil,22,169,69,1838,394,Clube Atlético Mineiro
M. Obafemi,Michael Obafemi,70,77,3300000,ST,ST,Republic of Ireland,21,169,71,1707,364,Swansea City
F. Saucedo,Fernando Saucedo,70,70,1300000,"CM,CAM",CM,Bolivia,32,173,69,1800,375,Club The Strongest
Paris Adot,Paris Adot Barandiaran,70,70,1100000,RB,RB,Spain,32,180,70,1868,402,SD Ponferradina
D. Loader,Danny Loader,70,81,3600000,ST,ST,England,21,182,76,1684,362,FC Porto
Sergio Tejera,Sergio Tejera Rodríguez,70,70,1100000,"CDM,CM",CDM,Spain,32,180,75,1974,414,FC Cartagena
F. Pérez,Facundo Pérez,70,76,2500000,"CM,RM",CM,Argentina,22,170,65,1863,397,Club Atlético Lanús
N. Hult,Niklas Hult,70,70,1100000,"LB,LW",LB,Sweden,32,173,63,1892,396,IF Elfsborg
S. Moore,Simon Moore,70,70,800000,GK,GK,England,32,191,83,1254,398,Coventry City
T. Douvikas,Tasos Douvikas,70,77,3300000,ST,ST,Greece,22,186,76,1768,383,FC Utrecht
J. Geis,Johannes Geis,70,70,1400000,CDM,CDM,Germany,28,181,81,1959,378,1. FC Nürnberg
K. Mudau,Khuliso Mudau,70,70,1500000,RB,RB,South Africa,27,179,72,1773,386,Mamelodi Sundowns FC
C. Styles,Callum Styles,70,78,3400000,"LWB,CM,RM",LWB,Hungary,22,170,60,1876,397,Millwall
Álvaro Jiménez,Álvaro José Jiménez Guerrero,70,70,1700000,"RM,LM",RM,Spain,27,175,71,1810,392,Unión Deportiva Las Palmas
K. McFadzean,Kyle McFadzean,70,70,425000,CB,CB,England,35,185,85,1476,318,Coventry City
B. Soppy,Brandon Soppy,70,81,3300000,"RWB,RM",RWB,France,20,181,80,1827,398,Atalanta
F. Klaus,Felix Klaus,70,70,1600000,"RM,LM",RW,Germany,29,179,79,1795,390,Fortuna Düsseldorf
M. Bauer,Moritz Bauer,70,70,1400000,"RB,LB,RWB",RB,Austria,30,181,74,1839,390,Servette FC
P. Anton,Paul Anton,70,70,1100000,"CDM,CM",CDM,Romania,31,182,81,1890,399,AFC UTA Arad
A. Omobamidele,Andrew Omobamidele,70,82,3600000,CB,CB,Republic of Ireland,20,188,78,1519,349,Norwich City
R. Petrović,Radosav Petrović,70,70,800000,CDM,CDM,Serbia,33,193,83,1654,354,Real Zaragoza
D. Ward,Danny Ward,70,70,1300000,ST,ST,England,31,180,72,1818,378,Huddersfield Town
J. Rodriguez,José Luis Rodriguez,70,75,2200000,"RB,RWB",RB,Uruguay,25,183,74,1797,393,Club Nacional de Football
Bruno Xadas,Bruno Alexandre Vieira Almeida,70,75,2400000,"CAM,CM",CAM,Portugal,24,179,72,1869,390,Clube Sport Marítimo
A. Samaris,Andreas Samaris,70,70,750000,"CB,CDM",CB,Greece,33,189,83,1853,385,Rio Ave FC
F. Ulvestad,Fredrik Ulvestad,70,70,1500000,"CM,CDM,CAM",CDM,Norway,30,183,84,1968,414,Demir Grup Sivasspor
A. Lotti,Augusto Lotti,70,72,2000000,ST,ST,Argentina,26,179,70,1666,364,Atlético Tucumán
J. Panzo,Jonathan Panzo,70,77,3000000,"CB,LB,LWB",CB,England,21,185,72,1723,376,Coventry City
O. Merlo,Omar Merlo,70,70,425000,CB,CB,Argentina,35,185,80,1540,327,Club Sporting Cristal
J. Czerwiński,Jakub Czerwiński,70,70,1300000,CB,CB,Poland,30,183,82,1555,326,Piast Gliwice
R. Rúnarsson,Rúnar Alex Rúnarsson,70,72,1500000,GK,GK,Iceland,27,186,76,1172,395,Aytemiz Alanyaspor
K. Long,Kevin Long,70,70,1100000,CB,CB,Republic of Ireland,31,190,82,1546,331,Burnley
Carrillo,José Ángel Carrillo Casamayor,70,70,1600000,ST,ST,Spain,28,181,82,1729,359,SD Huesca
Breno Bemposta,Breno Evandro Bemposta Dimas,70,70,1500000,"CDM,CM",CDM,Brazil,26,176,78,1879,375,Ceará Sporting Club
F. Pellistri,Facundo Pellistri,70,82,3800000,RM,RM,Uruguay,20,175,65,1754,375,Manchester United
İ. Eğribayat,İrfan Can Eğribayat,70,77,2700000,GK,GK,Turkey,24,193,79,1124,399,Fenerbahçe SK
S. Piette,Samuel Piette,70,70,1500000,"CDM,CM",CDM,Canada,27,171,79,1654,354,Club de Foot Montréal
A. Noppert,Andries Noppert,70,73,1500000,GK,GK,Netherlands,28,203,94,1206,389,SC Heerenveen
C. Spinelli,Claudio Spinelli,70,75,2400000,ST,ST,Argentina,25,180,80,1605,350,Club Atlético Lanús
K. Gjasula,Klaus Gjasula,70,70,1100000,"CDM,CB",CB,Albania,32,190,84,1724,366,SV Darmstadt 98
Farley,Farley Vieira Rosa,70,70,1600000,"LM,CM,LW",LM,Brazil,28,177,65,1637,357,Tianjin Jinmen Tiger FC
N. Ngoumou,Nathan Ngoumou,70,81,3600000,"RW,RM",RM,France,22,182,70,1730,377,Borussia Mönchengladbach
Bustinza,Unai Bustinza Martínez,70,70,1300000,"CB,RB",CB,Spain,30,175,73,1701,362,Málaga CF
Lee Dong Kyeong,Dong Kyeong Lee,70,75,2400000,"CM,CAM",LM,Korea Republic,24,175,69,1901,405,F.C. Hansa Rostock
G. Scalvini,Giorgio Scalvini,70,86,3800000,CB,CB,Italy,18,194,75,1464,319,Atalanta
Jesús Vázquez,Jesús Vázquez Alcalde,70,81,3300000,"LB,LWB,LM",LB,Spain,19,182,77,1766,375,Valencia CF
C. Fai,Collins Fai,70,70,1400000,"RB,RWB",RB,Cameroon,29,167,63,1745,380,Al Tai
T. Pembélé,Timothée Pembélé,70,81,3300000,"RB,RWB,CB",RM,France,19,182,76,1790,398,Paris Saint-Germain
Patrick William,Patrick William Sá De Oliveira,70,76,2200000,CB,CB,Brazil,25,185,78,1840,384,Rio Ave FC
C. Devlin,Cameron Devlin,70,77,3200000,"CM,CDM",CDM,Australia,24,176,78,1877,403,Heart of Midlothian
B. Petersen,Brandon Petersen,70,73,1500000,GK,GK,South Africa,28,185,75,1284,400,Kaizer Chiefs
Waldo,Waldo Rubio Martin,70,70,1700000,"LM,RM",RW,Spain,26,182,75,1828,384,CD Tenerife
S. Arzamendia,Santiago Arzamendia,70,77,3000000,"LB,LM",LWB,Paraguay,24,172,72,1773,384,Cádiz CF
I. Saavedra,Ignacio Saavedra,70,77,3200000,"CM,CDM",CM,Chile,23,174,73,1773,388,Universidad Católica
A. Hassan,Abdelkarim Hassan,70,70,0,"LWB,CB",LWB,Qatar,28,186,81,1917,416,Free agent
I. Voca,Idriz Voca,70,74,2000000,"CDM,CM",CDM,Kosovo,25,181,74,1792,383,Cosenza
A. Lusamba,Arnaud Lusamba,70,74,2200000,"CM,RW",RM,France,25,180,74,1964,414,Aytemiz Alanyaspor
N. Pasquini,Nicolás Pasquini,70,70,1200000,"LB,LM,CM",LB,Argentina,31,172,76,1927,406,Club Atlético Lanús
A. Schäfer,András Schäfer,70,79,3500000,"CM,CDM",CM,Hungary,23,178,72,1813,390,1. FC Union Berlin
D. Ignatenko,Danylo Ignatenko,70,75,2300000,"CM,CDM",CDM,Ukraine,25,190,80,1850,394,FC Girondins de Bordeaux
P. Wiesinger,Philipp Wiesinger,70,72,1600000,CB,CB,Austria,28,181,74,1813,384,LASK Linz
M. Bokadi,Merveille Bokadi,70,75,2100000,"CB,CDM",CB,Congo DR,26,186,85,1607,353,Standard de Liège
T. van Weert,Tom van Weert,70,70,1300000,ST,ST,Netherlands,32,183,78,1754,367,AEK Athens
D. Yedlin,DeAndre Yedlin,70,70,1400000,"RB,RWB",RB,United States,28,172,75,1869,400,Inter Miami CF
E. Zenga,Erik Zenga,70,70,1400000,"CDM,CM",CDM,Germany,29,181,78,1869,406,SV Sandhausen
A. Rodríguez,Arón Rodríguez,70,76,2600000,"LW,LM,RW",RM,Ecuador,22,172,61,1684,376,C.D. Universidad Católica del Ecuador
Y. Osorio,Yordan Osorio,70,72,1600000,CB,CB,Venezuela,28,186,80,1504,328,Parma
C. Sørensen,Christian Sørensen,70,70,1400000,LB,LM,Denmark,29,179,67,1950,414,F.C. København
R. Leonard,Ryan Leonard,70,70,1300000,"CDM,CM,RWB",CDM,England,30,185,82,1959,419,Millwall
Q. Merlin,Quentin Merlin,70,84,3700000,"LB,LWB,LM",LM,France,20,173,67,1900,395,FC Nantes
J. Fulton,Jay Fulton,70,71,1500000,"CDM,CM",CB,Scotland,28,186,80,1784,386,Swansea City
N. Raskin,Nicolas Raskin,70,80,3600000,"CM,CDM",CM,Belgium,21,178,74,1982,412,Standard de Liège
A. Modiba,Aubrey Modiba,70,70,1600000,LB,LB,South Africa,26,172,72,1836,395,Mamelodi Sundowns FC
F. Torrent,Fernando Torrent,70,70,1400000,RB,RB,Argentina,30,173,72,1800,392,Rosario Central
J. Caicedo,Juan Caicedo,70,70,1300000,ST,ST,Colombia,32,180,80,1678,356,Club Deportes Tolima
M. Álvarez,Milton Álvarez,70,70,525000,GK,GK,Argentina,33,185,86,1108,379,Club Atlético Independiente
G. Hein,Gauthier Hein,70,71,1900000,"RM,CM,CAM",RM,France,25,170,65,1783,376,AJ Auxerre
C. De Norre,Casper De Norre,70,73,2100000,"LM,LB,CM",RWB,Belgium,25,175,75,1923,405,Oud-Heverlee Leuven
D. Mantilla,Daniel Mantilla,70,73,2100000,"RM,LM,RW",CAM,Colombia,25,172,70,1775,381,Atlético Nacional
Eltson Marques,Elton Matheus Marques Paiva,70,70,1300000,CB,CB,Brazil,30,188,88,1483,315,Internacional
C. Menéndez,Cristian Menéndez,70,70,775000,ST,ST,Argentina,34,185,83,1773,372,Atlético Tucumán
Rober Correa,Roberto Antonio Correa Silva,70,70,1400000,RB,RB,Spain,29,180,71,1768,383,SD Eibar
B. Mikeltadze,Beka Mikeltadze,70,75,2400000,ST,CAM,Georgia,24,185,77,1767,375,Newcastle Jets
A. Schöpf,Alessandro Schöpf,70,70,1600000,"CM,CDM,CAM",RWB,Austria,28,178,74,1952,409,Vancouver Whitecaps FC
Carlos Domínguez,Carlos Dominguez Cáceres,70,78,3300000,CB,CB,Spain,21,187,71,1517,332,RC Celta de Vigo
L. Mancuso,Leonardo Mancuso,70,70,1600000,ST,CF,Italy,30,182,77,1798,380,Como
Cao Yunding,Yunding Cao,70,70,1300000,"LM,LW",LM,China PR,32,173,70,1819,382,Shanghai Shenhua FC
G. Kargas,Giannis Kargas,70,72,1700000,CB,CB,Greece,27,188,78,1668,362,PAOK
M. Turay,Mohamed Buya Turay,70,70,1700000,ST,ST,Sierra Leone,27,180,75,1757,382,Malmö FF
K. Przybyłko,Kacper Przybyłko,70,70,1600000,ST,ST,Poland,29,193,88,1706,362,Chicago Fire Football Club
Benito,Benito Ramírez del Toro,70,70,1600000,"LB,LM,RM",LB,Spain,26,179,70,1904,415,Unión Deportiva Las Palmas
J. Hogg,Jonathan Hogg,70,70,800000,"CDM,CM,CB",CDM,England,33,176,73,1796,383,Huddersfield Town
Adrián López,Adrián López Álvarez,70,70,775000,"ST,LM,RM",CF,Spain,34,183,73,1775,368,Málaga CF
Vitor Marlão,Vitor Marlon Bereitta Cortejo,70,70,1600000,"LB,CB",LB,Brazil,26,178,71,1644,357,Fortaleza
Nuno Moldeiro,Nuno Jorgino Moldeiro Vaz,70,70,1700000,LM,LM,Brazil,26,179,79,1759,380,Sport Club Corinthians Paulista
F. Andone,Florin Andone,70,70,1600000,ST,ST,Romania,29,180,78,1849,386,Unión Deportiva Las Palmas
G. Hairemans,Geoffry Hairemans,70,70,1500000,"RM,CAM,CM",CM,Belgium,30,183,64,1816,369,KV Mechelen
D. Srbeny,Dennis Srbeny,70,70,1600000,"ST,CAM",ST,Germany,28,190,83,1700,369,SC Paderborn 07
M. Thychosen,Mads Døhr Thychosen,70,74,2000000,CB,CB,Denmark,25,178,75,1881,403,FC Midtjylland
A. Esiti,Anderson Esiti,70,71,1500000,CDM,CB,Nigeria,28,189,84,1658,366,Ferencvárosi TC
Andrew,Andrew da Silva Ventura,70,82,3400000,GK,GK,Brazil,21,189,76,1053,387,Gil Vicente FC
M. Männel,Martin Männel,70,70,275000,GK,GK,Germany,34,183,80,1186,389,FC Erzgebirge Aue
S. Sithembe,Siyethemba Sithembe,70,70,1600000,"CAM,RW,CM",CAM,South Africa,29,170,62,1902,400,Kaizer Chiefs
D. Ballard,Daniel Ballard,70,81,3300000,CB,CB,Northern Ireland,22,187,85,1501,325,Sunderland
S. Bendebka,Sofiane Bendebka,70,70,1600000,"CAM,CM",RM,Algeria,29,181,72,1922,407,Al Fateh
A. Salvi,Alessandro Salvi,70,70,575000,"RB,LB,RM",RB,Italy,34,183,76,1914,406,Ascoli
M. Aké,Marley Aké,70,77,3200000,LW,RM,France,21,177,68,1778,378,Juventus
K. Zenón,Kevin Zenón,70,80,3600000,"LM,RM,LW",CAM,Argentina,21,177,70,1777,384,Unión de Santa Fe
Jefté,Jefté Betancor Sánchez,70,70,1600000,ST,ST,Spain,28,186,79,1768,372,CFR Cluj
T. Roberts,Tyler Roberts,70,75,2400000,"CAM,CM",ST,Wales,23,180,75,1794,388,Queens Park Rangers
A. N'Diaye,Alfred N'Diaye,70,70,1100000,CDM,CB,Senegal,32,188,82,1834,393,Málaga CF
B. Reynet,Baptiste Reynet,70,70,850000,GK,GK,France,31,185,90,1171,390,Dijon FCO
R. Enrique,Ramiro Enrique,70,82,3900000,"ST,LW",ST,Argentina,21,171,68,1738,369,Club Atlético Banfield
G. Lovrencsics,Gergő Lovrencsics,70,70,825000,RB,RB,Hungary,33,177,75,1947,412,Hajduk Split
A. Micai,Alessandro Micai,70,70,1100000,GK,GK,Italy,28,186,77,1140,386,US Salernitana 1919
H. Veerman,Henk Veerman,70,70,1300000,ST,ST,Netherlands,31,201,90,1571,355,FC Volendam
B. Luciatti,Brian Abel Luciatti,70,71,1500000,"CB,LB",CB,Argentina,29,178,67,1674,361,Club Atlético Tigre
M. Capasso,Manuel Capasso,70,74,2000000,CB,CB,Argentina,26,188,87,1486,323,Atlético Tucumán
M. Barreto,Mickaël Barreto,70,70,1300000,"LM,RM",LM,France,31,175,67,1765,370,AC Ajaccio
R. Salin,Romain Salin,70,70,180000,GK,GK,France,37,189,76,1157,374,Stade Rennais FC
C. Rigamonti,César Rigamonti,70,70,180000,GK,GK,Argentina,35,188,76,1146,386,Club Atlético Central Córdoba
Álex Blanco,Alejandro Blanco Sánchez,70,75,2400000,"LM,RM",LM,Spain,23,175,70,1686,371,Como
